Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000242268	LINC02082	long intergenic non-protein coding RNA 2082 	lncRNA	Chromosome 3: 168902194-168924590forward strand	
ENSG00000270112	AC090241.2	"novel transcript, antisense to ST8SIA5"	lncRNA	Chromosome 18: 46756487-46802449forward strand	
ENSG00000167578	RAB4B	"RAB4B, member RAS oncogene family "	protein coding	Chromosome 19: 40778216-40796942forward strand	
ENSG00000273842	-	-	-	-	-
ENSG00000078237	TIGAR	TP53 induced glycolysis regulatory phosphatase 	protein coding	Chromosome 12: 4307763-4360028forward strand	
ENSG00000146083	RNF44	ring finger protein 44 	protein coding	Chromosome 5: 176526712-176538025reverse strand	
ENSG00000225275	NUP210P2	nucleoporin 210 pseudogene 2 	unprocessed pseudogene	Chromosome 3: 11900011-11901245forward strand	
ENSG00000158486	DNAH3	dynein axonemal heavy chain 3 	protein coding	Chromosome 16: 20933111-21159441reverse strand	
ENSG00000198242	RPL23A	ribosomal protein L23a 	protein coding	Chromosome 17: 28719985-28724359forward strand	
ENSG00000259883	EHD4-AS1	EHD4 antisense RNA 1 	lncRNA	Chromosome 15: 41921417-41929286forward strand	
ENSG00000231981	RPL7L1P12	ribosomal protein L7 like 1 pseudogene 12 	processed pseudogene	Chromosome 13: 98949719-98950447reverse strand	
ENSG00000269475	AC244102.2	"melanoma antigen family A, 11 (MAGEA11) pseudogene"	unprocessed pseudogene	Chromosome X: 152682810-152683842forward strand	
ENSG00000201788	Y_RNA	Y RNA 	misc RNA	Chromosome 12: 44880868-44880969reverse strand	
ENSG00000134108	ARL8B	ADP ribosylation factor like GTPase 8B 	protein coding	Chromosome 3: 5122249-5180911forward strand	
ENSG00000263089	AC007114.2	"novel transcript, antisense to AKAP1"	lncRNA	Chromosome 17: 57092145-57096425reverse strand	
ENSG00000172137	CALB2	calbindin 2 	protein coding	Chromosome 16: 71358713-71390436forward strand	
ENSG00000167700	MFSD3	major facilitator superfamily domain containing 3 	protein coding	Chromosome 8: 144509070-144511213forward strand	
ENSG00000234943	AC092839.1	novel transcript	lncRNA	Chromosome 2: 54545368-54546677reverse strand	
ENSG00000240423	LINC00636	long intergenic non-protein coding RNA 636 	lncRNA	Chromosome 3: 107834586-107928907forward strand	
ENSG00000060642	PIGV	phosphatidylinositol glycan anchor biosynthesis class V 	protein coding	Chromosome 1: 26787054-26800659forward strand	
ENSG00000271616	AC055876.5	COX assembly mitochondrial protein 2 homolog (S. cerevisiae) (CMC2) pseudogene	processed pseudogene	Chromosome 15: 28830619-28831182reverse strand	
ENSG00000234881	PIGFP2	phosphatidylinositol glycan anchor biosynthesis class F pseudogene 2 	processed pseudogene	Chromosome 9: 123843036-123843686forward strand	
ENSG00000236040	CHIAP1	"chitinase, acidic pseudogene 1 "	unprocessed pseudogene	Chromosome 1: 111250254-111256715forward strand	
ENSG00000231105	ECE1-AS1	ECE1 antisense RNA 1 	lncRNA	Chromosome 1: 21293290-21299874forward strand	
ENSG00000243044	AC128716.1	zinc finger protein (ZNF) pseudogene	processed pseudogene	Chromosome 3: 162601627-162601792forward strand	
ENSG00000182141	ZNF708	zinc finger protein 708 	protein coding	Chromosome 19: 21291160-21329425reverse strand	
ENSG00000269416	LINC01224	long intergenic non-protein coding RNA 1224 	lncRNA	Chromosome 19: 23399233-23416075reverse strand	
ENSG00000264981	-	-	-	-	-
ENSG00000275265	AC127002.2	novel transcript	lncRNA	Chromosome 12: 122501187-122501641forward strand	
ENSG00000185105	MYADML2	myeloid associated differentiation marker like 2 	protein coding	Chromosome 17: 81939645-81947233reverse strand	
ENSG00000233540	DNM3-IT1	DNM3 intronic transcript 1 	lncRNA	Chromosome 1: 171864187-171864687forward strand	
ENSG00000102174	PHEX	phosphate regulating endopeptidase homolog X-linked 	protein coding	Chromosome X: 22032325-22251310forward strand	
ENSG00000271647	KRT8P47	keratin 8 pseudogene 47 	processed pseudogene	Chromosome 1: 44103306-44104703reverse strand	
ENSG00000166391	MOGAT2	monoacylglycerol O-acyltransferase 2 	protein coding	Chromosome 11: 75717838-75732958forward strand	
ENSG00000270469	AC006557.5	"non-SMC element 4 homolog A (S. cerevisiae), pseudogene"	processed pseudogene	Chromosome 18: 14053951-14054761forward strand	
ENSG00000070087	PFN2	profilin 2 	protein coding	Chromosome 3: 149964904-150050788reverse strand	
ENSG00000262950	AC007861.1	novel transcript	lncRNA	Chromosome 16: 49442910-49454109reverse strand	
ENSG00000255420	CASC23	cancer susceptibility 23 	lncRNA	Chromosome 11: 8011278-8016520reverse strand	
ENSG00000280038	DNM1P41	dynamin 1 pseudogene 41 	TEC	Chromosome 15: 84166547-84169896reverse strand	
ENSG00000266261	AC005324.4	novel transcript	lncRNA	Chromosome 17: 15651590-15654489forward strand	
